,CPI_All_Items,CPI_Less_Food_Energy
1957-01-01,27.67,28.5
1957-02-01,27.8,28.6
1957-03-01,27.86,28.7
1957-04-01,27.93,28.8
1957-05-01,28.0,28.8
1957-06-01,28.11,28.9
1957-07-01,28.19,29.0
1957-08-01,28.28,29.0
1957-09-01,28.32,29.1
1957-10-01,28.32,29.2
1957-11-01,28.41,29.3
1957-12-01,28.47,29.3
1958-01-01,28.64,29.3
1958-02-01,28.7,29.4
1958-03-01,28.87,29.5
1958-04-01,28.94,29.5
1958-05-01,28.94,29.5
1958-06-01,28.91,29.6
1958-07-01,28.89,29.6
1958-08-01,28.94,29.6
1958-09-01,28.91,29.7
1958-10-01,28.91,29.7
1958-11-01,28.95,29.8
1958-12-01,28.97,29.9
1959-01-01,29.01,29.9
1959-02-01,29.0,29.9
1959-03-01,28.97,30.0
1959-04-01,28.98,30.0
1959-05-01,29.04,30.1
1959-06-01,29.11,30.2
1959-07-01,29.15,30.2
1959-08-01,29.18,30.2
1959-09-01,29.25,30.3
1959-10-01,29.35,30.4
1959-11-01,29.35,30.4
1959-12-01,29.41,30.5
1960-01-01,29.37,30.5
1960-02-01,29.41,30.6
1960-03-01,29.41,30.6
1960-04-01,29.54,30.6
1960-05-01,29.57,30.6
1960-06-01,29.61,30.7
1960-07-01,29.55,30.6
1960-08-01,29.61,30.6
1960-09-01,29.61,30.6
1960-10-01,29.75,30.8
1960-11-01,29.78,30.8
1960-12-01,29.81,30.7
1961-01-01,29.84,30.8
1961-02-01,29.84,30.8
1961-03-01,29.84,30.9
1961-04-01,29.81,30.9
1961-05-01,29.84,30.9
1961-06-01,29.84,31.0
1961-07-01,29.92,31.0
1961-08-01,29.94,31.1
1961-09-01,29.98,31.1
1961-10-01,29.98,31.1
1961-11-01,29.98,31.2
1961-12-01,30.01,31.2
1962-01-01,30.04,31.2
1962-02-01,30.11,31.2
1962-03-01,30.17,31.3
1962-04-01,30.21,31.3
1962-05-01,30.24,31.4
1962-06-01,30.21,31.4
1962-07-01,30.22,31.4
1962-08-01,30.28,31.5
1962-09-01,30.42,31.5
1962-10-01,30.38,31.5
1962-11-01,30.38,31.5
1962-12-01,30.38,31.6
